#Frame           test    test[Max]
     874      15.6549      27.2551
     875      15.6967      27.3968
     876      15.5713      27.4193
     877      15.6948      27.0386
     878      15.6799      26.7811
     879      15.4480      27.3057
     880      15.7620      27.6533
     881      15.4212      27.2668
     882      15.7300      26.6001
     883      15.6752      26.9509
     884      15.4091      27.3225
     885      15.4386      27.1533
     886      15.7121      27.1007
     887      15.5893      27.2208
     888      15.7316      27.1614
     889      15.6341      26.3483
     890      15.6906      26.9366
     891      15.6527      27.1931
     892      15.5408      26.5759
     893      15.7193      27.1366
     894      18.6006      65.2507
     895      15.7021      26.8409
     896      15.5710      26.3131
     897      15.6035      26.6088
     898      15.5429      26.8073
     899      15.6628      27.1674
     900      15.6259      26.8355
     901      15.5577      26.7650
     902      15.5134      27.5290
     903      15.6617      27.2583
     904      15.6711      26.2480
     905      15.6719      27.4530
     906      15.6853      27.1744
     907      15.5899      26.7121
     908      15.5960      27.0007
     909      15.6050      26.4230
     910      15.5260      26.4880
     911      18.9472      67.3677
     912      15.6222      26.4671
     913      18.9214      67.2427
     914      18.9461      67.0178
     915      15.6017      26.8922
     916      15.5769      27.3351
     917      15.6611      27.1104
     918      15.6877      27.3389
     919      15.6443      27.2234
     920      15.7442      26.9291
     921      15.6389      26.7800
     922      15.6108      27.3058
     923      15.5681      26.9450
     924      15.6407      26.9778
     925      15.5372      26.9168
     926      15.6675      27.3435
     927      15.5581      26.8396
     928      15.5310      27.2206
     929      15.6164      26.4405
     930      15.6730      27.4562
     931      15.6220      26.4245
     932      15.6468      27.0866
     933      15.6368      26.9803
     934      15.5421      27.3385
     935      15.5687      27.3470
     936      15.5943      27.0147
     937      15.6600      27.5857
     938      15.6029      26.9522
     939      15.6318      27.3461
     940      15.6084      27.3738
     941      15.6655      27.4665
     942      15.5596      27.3698
     943      15.6077      26.7831
     944      15.5475      27.0283
     945      15.5426      27.1666
     946      15.6117      27.0377
     947      15.5883      26.8764
     948      15.5317      26.7390
     949      15.6061      26.8485
     950      15.6359      27.4515
     951      15.6489      27.2843
     952      15.5861      26.9126
     953      15.5999      26.8185
     954      15.5550      26.5210
     955      15.6253      26.8740
     956      15.5167      26.6454
     957      15.5182      27.0142
     958      15.5120      26.5676
     959      15.6173      27.4857
     960      15.5404      26.7531
     961      15.4987      26.6963
     962      15.5673      27.5012
     963      15.6101      26.4909
     964      15.6401      27.2872
     965      15.5230      26.7634
     966      15.5290      26.8408
     967      15.6155      26.8508
     968      15.5215      26.9024
     969      15.5090      26.1559
     970      15.6451      26.4004
     971      15.5777      26.4915
     972      15.7031      27.0029
     973      15.5474      26.5994
     974      15.6053      27.2763
     975      15.5701      26.3858
     976      15.6325      27.0757
     977      15.5683      26.7319
     978      15.6220      27.0418
     979      15.6341      26.8569
     980      15.5149      26.7930
     981      15.5581      27.0492
     982      15.6504      26.8289
     983      15.6523      27.1886
     984      15.6245      27.2829
     985      15.6289      27.1967
     986      15.5860      26.7697
     987      15.5612      26.5997
     988      15.6139      26.5643
     989      15.6525      27.1820
     990      15.6239      26.6984
     991      15.5256      26.9247
     992      15.6721      26.9661
     993      15.4494      26.6827
     994      15.5494      26.6131
     995      15.5723      26.8238
     996      15.6313      26.7494
     997      15.7151      27.1730
     998      15.5863      26.8646
     999      15.6529      27.4356
    1000      15.5940      26.7451
    1001      15.5150      27.0603
    1002      15.6222      27.3084
    1003      19.0170      68.2413
    1004      15.5137      26.9139
    1005      15.5445      27.2179
    1006      15.6045      27.6977
    1007      15.5511      26.8529
    1008      15.5504      26.5871
    1009      15.6651      27.1889
    1010      15.5952      27.0992
    1011      15.5832      26.8534
    1012      15.5951      26.5373
    1013      15.6544      26.9583
    1014      15.5643      27.2618
    1015      15.5919      27.3309
    1016      15.5726      27.4390
    1017      15.6721      27.4123
    1018      15.6007      27.0261
    1019      15.5979      26.6818
    1020      15.6025      26.8486
    1021      15.5286      26.5233
    1022      15.7018      27.0774
    1023      15.6203      26.7623
    1024      15.5740      26.8910
    1025      15.5735      27.1643
    1026      15.6109      27.3820
    1027      18.6724      65.6416
    1028      15.5680      27.0214
    1029      15.6349      27.4016
    1030      15.6551      26.9703
    1031      15.5955      26.8148
    1032      15.6212      26.9490
    1033      15.6042      26.9659
    1034      15.5215      26.8281
    1035      15.6319      26.8445
    1036      15.5014      27.1898
    1037      15.5176      27.1027
    1038      15.4955      26.9316
    1039      15.5219      26.7945
    1040      19.2408      69.4976
    1041      15.6472      27.7850
    1042      15.5540      26.6141
    1043      15.6676      27.9036
    1044      15.5456      27.4455
    1045      15.6592      27.1268
    1046      15.4666      26.5006
    1047      15.6044      26.8024
    1048      15.5675      27.1680
    1049      15.5235      27.2425
    1050      15.6463      27.0765
    1051      15.6001      26.7801
    1052      15.6414      27.5263
    1053      15.5470      27.3049
    1054      15.5392      27.4550
    1055      15.6878      27.4879
    1056      15.6172      27.3411
    1057      15.6276      27.0352
    1058      15.6310      27.3218
    1059      15.6491      27.3054
    1060      15.5357      27.4710
    1061      15.5734      26.7348
    1062      15.6054      27.1279
    1063      15.5035      26.2466
    1064      15.5561      27.1226
    1065      15.5403      27.1352
    1066      15.5623      26.5850
    1067      15.5402      26.5105
