#Frame   WS_00005[lower] WS_00005[upper]
    1077               8              19
    1078               6              16
    1079               5              11
    1080               7              16
    1081               4              10
    1082               6              17
    1083               5              13
    1084               4              14
    1085               9              21
    1086               4              11
    1087               6              16
    1088               8              21
    1089               7              18
    1090               5              14
    1091               6              15
    1092               3              14
    1093               3              15
    1094               6              11
    1095               7              18
    1096               8              17
    1097               7              18
    1098               5              16
