#Frame           COM1       ANGLE1
     799       3.8982      10.0953
     800       3.9972      25.8667
     801       3.9068      10.9754
     802       4.0824      24.7316
     803       4.1795      19.6945
     804       4.0962      28.4688
     805       4.4757      19.3196
     806       4.0348      18.5868
     807       3.8481      23.3788
     808       4.2646      25.1184
     809       3.6869      12.2905
     810       3.6278      37.2967
     811       4.2894      17.0404
     812       3.7139      27.2373
     813       3.7560      11.8522
     814       3.9222       5.1907
     815       3.8874      13.5605
     816       3.6718      14.7045
     817       3.9897      18.4933
     818       4.1219      34.0823
     819       3.9829      16.7418
     820       4.1456      18.7939
     821       3.9758      11.6620
     822       4.0621      13.6808
     823       4.3881      24.6069
     824       4.3543      27.1089
     825       3.8378       8.0754
     826       4.0238      21.4835
     827       4.1294      19.9847
     828       3.7498       8.6678
     829       4.4106      30.1291
     830       4.6764      31.2427
     831       3.8632      23.0835
     832       3.8093       7.0889
     833       3.5315      11.6369
     834       3.8776      21.8044
     835       4.4378      28.2959
     836       4.4162      21.0882
     837       4.1717      24.7169
     838       3.9200       7.5606
     839       4.4003      12.4903
     840       3.9388       9.2023
     841       4.0044      12.3120
     842       4.0839      18.0458
     843       3.7320      21.8867
     844       3.8553      18.2206
     845       3.6283      13.9346
     846       4.5203       6.7191
     847       4.4394       2.7532
     848       3.9785      22.7254
     849       3.8812      12.8180
     850       4.3809      33.2315
     851       4.1665      14.8353
     852       4.0304      13.1306
     853       4.1508      18.7277
     854       4.1015      13.8294
     855       3.9690      13.7035
     856       3.6627      29.9841
     857       4.6001      23.3297
     858       4.3404      29.1109
     859       3.8128       8.6572
     860       3.7545       6.8137
     861       4.1547       4.1393
     862       4.1225      15.2139
     863       4.1106      16.2160
     864       4.2981      30.1870
     865       3.9264      12.7247
     866       3.9023      21.4155
     867       3.6191      15.7636
     868       3.9931      16.3196
     869       4.0793      10.5236
     870       3.9921      28.1414
     871       4.4473      33.0613
     872       4.1537      30.0626
     873       4.0805      21.4584
     874       5.4533      39.3740
     875       4.1218      34.2294
     876       3.5568      11.9315
     877       3.8316      27.6587
     878       5.6233      48.4101
     879       3.7443      22.3521
     880       3.8639      17.9092
     881       3.9133      16.0105
     882       3.9210      33.7949
     883       4.1333      12.6379
     884       4.0767      22.9895
     885       4.3949      23.9212
     886       4.0161      11.5056
     887       3.6704      17.1634
     888       3.9956      23.7581
     889       3.8078      21.5372
     890       4.1286      15.3530
     891       4.4582      21.2147
     892       4.3153      30.6713
     893       4.1445      19.8754
     894       4.1479      28.4878
     895       3.7625      10.2836
     896       4.1549      11.8096
     897       3.9515      29.4648
     898       3.9150      11.9003
     899       4.2826      23.1739
     900       4.3184      34.6242
     901       3.9889      20.1052
     902       4.1053      11.3952
     903       4.0279      12.3403
     904       3.8054      20.0182
     905       4.0803      19.2792
     906       3.7684      11.0645
     907       3.8311      15.4276
     908       4.0016      22.4938
     909       4.6198      19.7298
     910       4.0145      23.8757
     911       4.1383      22.4040
     912       3.9815      11.7546
     913       4.0925      14.9219
     914       3.5084       4.5246
     915       3.7442      14.6848
     916       4.0145      20.9787
     917       3.7656      13.8249
     918       3.8211       9.7538
     919       3.6857      11.5375
     920       3.8081      13.3511
     921       3.7456      21.7317
     922       3.9214      14.3809
     923       3.8978      10.9342
     924       4.0589      30.3823
     925       3.8401      25.9998
     926       4.0765      21.5413
     927       4.0057      13.6159
     928       3.9461      26.7852
     929       3.7463      22.0095
     930       3.7976      10.1188
     931       3.9385      27.1186
     932       4.2050      33.9909
     933       3.7039      13.1793
     934       4.2231      23.9712
     935       4.8067      39.7122
     936       4.4394      26.4344
     937       4.2152      26.9549
     938       3.9987      33.3613
     939       4.4393      16.3513
     940       4.1706      13.0280
     941       4.2264      19.5757
     942       3.6264      18.9718
     943       4.0639      16.9096
     944       3.9442      37.9900
     945       3.5683      13.1348
     946       4.4007      25.9632
     947       4.1125      12.7973
     948       3.8062      11.4065
     949       4.4156      11.7042
     950       3.8813      11.9625
     951       3.6180      14.2985
     952       4.0297      14.2299
     953       4.1889      23.7014
     954       3.8614      10.4311
     955       4.5926      33.8087
     956       3.5884      13.2968
     957       4.5162      25.4182
     958       4.4889      16.6665
     959       3.7954      10.4094
     960       4.3842       9.3096
     961       3.6670      26.5912
     962       3.8334      10.5155
     963       3.9509      22.8189
     964       3.8762      19.7279
     965       4.1324      14.9547
     966       3.9852       8.2324
     967       4.0956      18.5704
     968       4.1003       5.9957
     969       4.0378      19.1836
     970       4.1891      26.0201
     971       3.5294       8.7225
     972       3.7669      20.1881
     973       3.7681      22.1034
     974       3.4277       7.8905
     975       3.4126      11.6978
     976       3.5313      14.3487
     977       3.6104      12.4649
     978       4.0930      25.2884
